timestamp,Q1-1_PwD-anger,Q1-2_PwD-disgust,Q1-3_PwD-fear,Q1-4_PwD-happiness,Q1-5_PwD-sadness,Q1-6_PwD-surprise,Q2-1_MeD-anger,Q2-2_MeD-disgust,Q2-3_MeD-fear,Q2-4_MeD-hapiness,Q2-5_MeD-sadness,Q2-6_MeD-surprise,Q3-1_OthND-anger,Q3-2_OthND-disgust,Q3-3_OthND-fear,Q3-4_OthND-happiness,Q3-5_OthND-sadness,Q3-6_OthND-surprise,Q4_privateD,Q5_jobD,age,gender
12/12/2023 20:06:39,3,1,3,3,2,3,4,4,4,2,4,4,2,2,2,2,2,2,4,4,60,female
12/12/2023 20:49:43,3,2,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,46,female
12/12/2023 21:27:01,2,2,4,3,1,3,1,1,4,3,1,4,4,3,2,3,3,1,4,4,41,male
12/12/2023 21:43:28,1,1,2,0,2,2,2,2,3,2,3,2,1,1,1,1,1,1,2,0,47,male
12/12/2023 21:59:42,4,3,3,2,4,2,3,3,4,2,4,2,3,1,1,3,2,2,4,0,50,female
12/12/2023 22:21:38,1,2,1,2,1,1,1,1,1,1,1,1,2,3,1,2,1,2,4,3,58,female
12/12/2023 23:08:19,3,2,4,3,3,2,3,3,4,1,4,4,4,4,3,2,4,3,4,0,58,female
12/12/2023 23:25:13,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,0,46,female
12/13/2023 0:29:50,3,3,4,3,4,3,3,2,3,2,2,2,1,2,1,2,2,1,3,1,48,female
12/13/2023 1:13:22,3,3,3,1,3,4,2,4,4,0,2,4,1,2,1,4,1,1,2,0,26,female
12/13/2023 1:22:07,0,1,1,2,1,2,3,2,3,2,2,2,3,3,3,1,3,1,4,1,56,female
12/13/2023 5:56:29,4,4,4,3,3,4,4,4,4,2,4,4,3,2,3,2,3,3,1,4,40,female
12/13/2023 7:14:43,1,1,4,2,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,1,59,female
12/13/2023 13:07:43,3,1,4,4,2,1,3,0,4,3,3,1,2,1,2,2,2,1,1,3,40,female
12/13/2023 14:04:54,3,3,3,2,3,3,4,4,4,1,4,3,2,2,3,3,1,2,4,4,64,female
12/13/2023 14:33:39,1,1,3,3,3,3,2,4,4,3,2,3,3,1,1,3,2,3,3,1,53,female
12/13/2023 19:23:18,2,4,4,2,4,4,2,4,4,2,4,4,2,2,2,2,2,2,2,2,41,male
12/13/2023 21:07:43,1,1,4,2,2,1,2,2,4,2,2,1,3,3,3,2,3,2,4,0,64,female
12/13/2023 22:30:14,0,1,3,3,1,1,2,2,2,2,2,2,2,2,2,2,3,2,4,0,84,male
12/13/2023 23:07:26,4,0,4,2,2,2,2,1,4,2,3,2,1,1,1,2,1,1,3,3,33,female
12/13/2023 23:37:25,2,2,3,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,4,1,50,female
12/14/2023 13:48:37,3,3,3,2,2,1,3,3,3,2,2,2,1,1,2,2,1,3,3,4,48,female
12/14/2023 15:14:40,2,2,4,3,4,3,4,2,4,1,4,2,2,2,2,4,3,3,0,4,64,female
12/14/2023 18:33:03,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,0,56,female
12/14/2023 21:26:41,1,1,2,1,4,2,2,1,3,1,4,2,2,1,1,1,1,1,4,0,52,female
12/15/2023 20:47:20,4,4,4,2,4,2,2,4,4,2,4,2,2,2,2,2,2,2,4,4,44,female
12/15/2023 22:09:40,2,3,4,2,3,4,4,2,4,1,4,4,2,2,1,3,2,2,4,4,57,female
12/16/2023 7:16:56,4,2,2,1,3,3,4,4,4,1,4,3,1,1,3,4,3,1,4,0,59,female
12/16/2023 10:20:59,1,0,2,2,3,3,2,1,2,2,3,3,3,1,2,2,2,0,3,4,34,female
12/16/2023 13:04:03,3,2,3,2,3,2,3,3,4,2,4,2,0,0,1,2,1,2,4,1,63,female
12/16/2023 13:49:17,2,1,1,2,2,2,4,4,3,1,2,1,3,4,3,2,3,4,4,1,73,male
12/16/2023 15:17:23,3,3,1,3,3,2,3,3,2,3,3,3,2,2,2,3,2,1,3,0,46,female
12/16/2023 15:22:58,4,3,4,1,3,4,4,3,4,2,4,3,2,3,2,3,2,3,2,0,43,female
12/16/2023 15:41:27,4,4,4,2,3,4,4,4,4,0,4,4,3,3,3,1,3,1,1,2,50,male
